,title,year,nominations,awards
0,The King's Speech,2010,12,4
1,Inception,2010,8,4
2,The Social Network,2010,8,3
3,The Fighter,2010,7,2
4,Toy Story 3,2010,5,2
5,Alice in Wonderland,2010,3,2
6,Black Swan,2010,5,1
7,In a Better World,2010,1,1
8,The Lost Thing,2010,1,1
9,God of Love,2010,1,1
10,The Wolfman,2010,1,1
11,Strangers No More,2010,1,1
12,Inside Job,2010,1,1
13,The Artist,2011,10,5
14,Hugo,2011,11,5
15,The Iron Lady,2011,2,2
16,The Descendants,2011,5,1
17,The Girl with the Dragon Tattoo,2011,5,1
18,Midnight in Paris,2011,4,1
19,The Help,2011,4,1
20,A Separation,2011,2,1
21,The Fantastic Flying Books of Mr. Morris Lessmore,2011,1,1
22,The Shore,2011,1,1
23,Undefeated,2011,1,1
24,The Muppets,2011,1,1
25,Saving Face,2011,1,1
26,Beginners,2011,1,1
27,Rango,2011,1,1
28,Argo,2012,7,3
29,Life of Pi,2012,11,4
30,Les Misérables,2012,8,3
31,Lincoln,2012,12,2
32,Django Unchained,2012,5,2
33,Skyfall,2012,5,2
34,Silver Linings Playbook,2012,8,1
35,Zero Dark Thirty,2012,5,1
36,Amour,2012,5,1
37,Anna Karenina,2012,4,1
38,Paperman,2012,1,1
39,Brave,2012,1,1
40,Searching for Sugar Man,2012,1,1
41,Inocente,2012,1,1
42,Curfew,2012,1,1
43,12 Years a Slave,2013,9,3
44,Gravity,2013,10,7
45,Dallas Buyers Club,2013,6,3
46,Frozen,2013,2,2
47,The Great Gatsby,2013,2,2
48,Her,2013,5,1
49,Blue Jasmine,2013,3,1
50,Mr Hublot,2013,1,1
51,The Lady in Number 6: Music Saved My Life,2013,1,1
52,Helium,2013,1,1
53,The Great Beauty,2013,1,1
54,20 Feet from Stardom,2013,1,1
55,Birdman,2014,9,4
56,The Grand Budapest Hotel,2014,9,4
57,Whiplash,2014,5,3
58,The Imitation Game,2014,8,1
59,American Sniper,2014,6,1
60,Boyhood,2014,6,1
61,Interstellar,2014,5,1
62,The Theory of Everything,2014,5,1
63,Ida,2014,2,1
64,Selma,2014,2,1
65,Citizenfour,2014,1,1
66,Big Hero 6,2014,1,1
67,Crisis Hotline: Veterans Press 1,2014,1,1
68,The Phone Call,2014,1,1
69,Still Alice,2014,1,1
70,Feast,2014,1,1
71,Spotlight,2015,6,2
72,Mad Max: Fury Road,2015,10,6
73,The Revenant,2015,12,3
74,Bridge of Spies,2015,6,1
75,The Big Short,2015,5,1
76,The Danish Girl,2015,4,1
77,Room,2015,4,1
78,Ex Machina,2015,2,1
79,The Hateful Eight,2015,2,1
80,Inside Out,2015,2,1
81,Amy,2015,1,1
82,Bear Story,2015,1,1
83,A Girl in the River: The Price of Forgiveness,2015,1,1
84,Son of Saul,2015,1,1
85,Spectre,2015,1,1
86,Stutterer,2015,1,1
